Description,Word_No,Valence_Mean,Valence_Mean_SD,Arousal_Mean,Arousal_Mean_SD,Dominance_Mean,Dominance_Mean_SD,Word_Frequency,POS
sapphire,371,7.0,(1.88),5.0,(2.72),5.55,(2.24),.,NOUN
satisfied,372,7.94,(1.19),4.94,(2.63),6.14,(2.37),36,NOUN
save,969,6.45,(1.93),4.95,(2.19),6.0,(1.79),62,PROPN
savior,373,7.73,(1.56),5.8,(3.01),6.64,(2.18),6,NOUN
scalding,970,2.82,(2.12),5.95,(2.55),3.82,(2.30),1,NOUN
scandal,971,3.32,(1.81),5.12,(2.22),4.34,(1.73),8,NOUN
scapegoat,972,3.67,(1.65),4.53,(2.13),3.52,(1.70),1,NOUN
scar,973,3.38,(1.70),4.79,(2.11),3.88,(1.71),10,VERB
scared,604,2.78,(1.99),6.82,(2.03),2.94,(2.19),21,PROPN
scholar,374,7.26,(1.42),5.12,(2.46),6.59,(2.02),15,NOUN
scissors,974,5.05,(0.96),4.47,(1.76),5.16,(1.84),1,NOUN
scorching,975,3.76,(1.83),5.0,(2.74),4.1,(2.01),.,PROPN
scorn,375,2.84,(2.07),5.48,(2.52),3.93,(2.64),4,NOUN
scornful,376,3.02,(2.03),5.04,(2.56),4.59,(2.18),5,NOUN
scorpion,976,3.69,(2.63),5.38,(3.08),3.98,(2.44),.,NOUN
scream,605,3.88,(2.07),7.04,(1.96),4.75,(2.21),13,NOUN
scum,377,2.43,(1.56),4.88,(2.36),4.26,(1.99),.,VERB
scurvy,378,3.19,(2.00),4.71,(2.72),4.48,(2.48),1,PROPN
seasick,379,2.05,(1.20),5.8,(2.88),3.41,(2.39),.,NOUN
seat,380,4.95,(0.98),2.95,(1.72),4.84,(1.88),54,NOUN
secure,381,7.57,(1.76),3.14,(2.47),5.93,(2.57),30,NOUN
selfish,382,2.42,(1.62),5.5,(2.62),4.64,(2.31),8,NOUN
sentiment,977,5.98,(1.71),4.41,(2.30),5.09,(1.46),23,NOUN
serious,383,5.08,(1.59),4.0,(1.87),5.12,(1.65),116,NOUN
severe,978,3.2,(1.74),5.26,(2.36),3.83,(1.91),39,NOUN
sex,384,8.05,(1.53),7.36,(1.91),5.75,(2.25),84,PROPN
sexy,530,8.02,(1.12),7.36,(1.91),6.82,(2.13),2,PROPN
shadow,385,4.35,(1.23),4.3,(2.26),4.19,(1.82),36,NOUN
shamed,386,2.5,(1.34),4.88,(2.27),2.98,(1.94),1,NOUN
shark,606,3.65,(2.47),7.16,(1.96),2.63,(2.16),.,NOUN
sheltered,387,5.75,(1.92),4.28,(1.77),3.76,(1.91),4,PROPN
ship,388,5.55,(1.40),4.38,(2.29),5.12,(2.31),83,NOUN
shotgun,979,4.37,(2.75),6.27,(1.94),5.29,(2.67),8,NOUN
shriek,980,3.93,(2.22),5.36,(2.91),4.3,(1.86),5,PROPN
shy,389,4.64,(1.83),3.77,(2.29),3.44,(1.96),13,NOUN
sick,607,1.9,(1.14),4.29,(2.45),3.04,(1.65),51,NOUN
sickness,390,2.25,(1.71),5.61,(2.67),3.84,(2.50),6,NOUN
silk,391,6.9,(1.27),3.71,(2.51),4.81,(1.93),12,NOUN
silly,981,7.41,(1.80),5.88,(2.38),6.0,(2.09),15,PROPN
sin,392,2.8,(1.67),5.78,(2.21),3.62,(2.29),53,NOUN
sinful,393,2.93,(2.15),6.29,(2.43),4.24,(2.73),3,NOUN
sissy,394,3.14,(1.96),5.17,(2.57),3.58,(2.74),.,NOUN
skeptical,395,4.52,(1.63),4.91,(1.92),4.5,(1.61),7,NOUN
skijump,531,7.06,(1.73),7.06,(2.10),4.9,(2.32),.,PROPN
skull,608,4.27,(1.83),4.75,(1.85),4.86,(1.62),3,PROPN
sky,572,7.37,(1.40),4.27,(2.17),5.16,(2.00),58,NOUN
skyscraper,573,5.88,(1.87),5.71,(2.17),4.33,(2.36),2,NOUN
slap,396,2.95,(1.79),6.46,(2.58),4.21,(2.29),2,NOUN
slaughter,397,1.64,(1.18),6.77,(2.42),3.82,(2.75),10,NOUN
slave,398,1.84,(1.13),6.21,(2.93),3.29,(2.76),30,NOUN
sleep,399,7.2,(1.77),2.8,(2.66),5.41,(2.41),65,NOUN
slime,400,2.68,(1.66),5.36,(2.63),4.17,(1.82),1,NOUN
slow,982,3.93,(1.60),3.39,(2.22),4.35,(1.61),60,PROPN
slum,401,2.39,(1.25),4.78,(2.52),3.83,(2.18),8,NOUN
slush,983,4.66,(1.88),3.73,(2.23),4.91,(1.48),.,VERB
smallpox,402,2.52,(2.08),5.58,(2.13),4.29,(2.17),2,NOUN
smooth,984,6.58,(1.78),4.91,(2.57),5.09,(2.09),42,NOUN
snake,609,3.31,(2.20),6.82,(2.10),3.78,(2.05),44,PROPN
snob,403,3.36,(1.81),5.65,(2.36),5.11,(2.25),1,PROPN
snow,575,7.08,(1.83),5.75,(2.47),5.8,(1.97),59,NOUN
snuggle,404,7.92,(1.24),4.16,(2.80),5.66,(2.47),4,NOUN
social,985,6.88,(1.82),4.98,(2.59),5.91,(2.07),380,NOUN
soft,986,7.12,(1.34),4.63,(2.61),6.0,(1.80),61,PROPN
solemn,405,4.32,(1.51),3.56,(1.95),4.61,(1.87),12,PROPN
song,987,7.1,(1.97),6.07,(2.42),5.85,(2.12),70,NOUN
soothe,988,7.3,(1.85),4.4,(3.08),5.36,(2.24),2,NOUN
sour,989,3.93,(1.98),5.1,(1.95),4.64,(1.50),3,NOUN
space,574,6.78,(1.66),5.14,(2.54),5.2,(2.44),184,PROPN
spanking,990,3.55,(2.54),5.41,(2.73),3.91,(2.51),.,PROPN
sphere,991,5.33,(0.87),3.88,(1.99),5.0,(0.92),22,NOUN
spider,610,3.33,(1.72),5.71,(2.21),4.75,(2.11),2,NOUN
spirit,406,7.0,(1.32),5.56,(2.62),5.82,(2.42),182,VERB
spouse,407,7.58,(1.48),5.21,(2.75),5.53,(1.97),3,NOUN
spray,992,5.45,(1.63),4.14,(2.28),5.12,(1.43),16,NOUN
spring,993,7.76,(1.51),5.67,(2.51),6.26,(1.98),127,NOUN
square,408,4.74,(1.02),3.18,(1.76),4.51,(1.45),143,NOUN
stagnant,994,4.15,(1.57),3.93,(1.94),4.71,(1.36),5,NOUN
star,409,7.27,(1.66),5.83,(2.44),4.68,(2.15),25,NOUN
startled,410,4.5,(1.67),6.93,(2.24),4.48,(1.57),21,NOUN
starving,611,2.39,(1.82),5.61,(2.53),3.63,(2.10),6,PROPN
statue,995,5.17,(0.70),3.46,(1.72),4.95,(1.40),17,NOUN
stench,996,2.19,(1.37),4.36,(2.46),4.29,(1.91),1,PROPN
stiff,997,4.68,(1.97),4.02,(2.41),4.93,(2.04),21,NOUN
stink,411,3.0,(1.79),4.26,(2.10),4.16,(1.98),3,PROPN
stomach,998,4.82,(2.06),3.93,(2.49),4.68,(1.85),37,NOUN
stool,999,4.56,(1.72),4.0,(2.14),4.98,(1.85),8,NOUN
storm,1000,4.95,(2.22),5.71,(2.34),4.54,(2.04),26,NOUN
stove,1001,4.98,(1.69),4.51,(2.14),5.36,(1.87),15,NOUN
street,412,5.22,(0.72),3.39,(1.87),4.81,(1.21),244,PROPN
stress,413,2.09,(1.41),7.45,(2.38),3.93,(2.75),107,NOUN
strong,414,7.11,(1.48),5.92,(2.28),6.92,(2.43),202,VERB
stupid,415,2.31,(1.37),4.72,(2.71),2.98,(2.18),24,VERB
subdued,416,4.67,(1.31),2.9,(1.81),4.08,(1.56),8,VERB
success,417,8.29,(0.93),6.11,(2.65),6.89,(2.40),93,VERB
suffocate,418,1.56,(0.96),6.03,(3.19),3.44,(2.81),1,NOUN
sugar,1002,6.74,(1.73),5.64,(2.18),5.5,(1.50),34,NOUN
suicide,419,1.25,(0.69),5.73,(3.14),3.58,(3.02),17,NOUN
sun,532,7.55,(1.85),5.04,(2.66),6.16,(2.09),112,NOUN
sunlight,1003,7.76,(1.43),6.1,(2.30),5.63,(2.15),17,NOUN
sunrise,420,7.86,(1.35),5.06,(3.05),5.29,(2.41),10,NOUN
sunset,421,7.68,(1.72),4.2,(2.99),5.66,(2.08),14,VERB
surgery,612,2.86,(2.19),6.35,(2.32),2.75,(1.86),6,NOUN
surprised,422,7.47,(1.56),7.47,(2.09),6.11,(2.19),58,PROPN
suspicious,423,3.76,(1.42),6.25,(1.59),4.47,(1.99),13,NOUN
swamp,1004,5.14,(2.24),4.86,(2.36),5.29,(1.63),5,NOUN
sweetheart,424,8.42,(0.83),5.5,(2.73),6.03,(2.24),9,NOUN
swift,1005,6.46,(1.76),5.39,(2.53),6.29,(1.85),32,NOUN
swimmer,576,6.54,(1.64),4.82,(2.49),5.96,(1.91),.,NOUN
syphilis,425,1.68,(1.23),5.69,(3.25),3.33,(2.67),.,VERB
table,426,5.22,(0.72),2.92,(2.16),4.47,(1.66),198,NOUN
talent,427,7.56,(1.25),6.27,(1.80),6.49,(1.75),40,NOUN
tamper,1006,4.1,(1.88),4.95,(2.01),4.58,(2.10),1,PROPN
tank,613,5.16,(1.87),4.88,(1.86),4.78,(1.93),12,PROPN
taste,1007,6.66,(1.57),5.22,(2.38),5.5,(1.65),59,NOUN
taxi,1008,5.0,(1.96),3.41,(2.14),4.64,(1.83),16,NOUN
teacher,1009,5.68,(2.12),4.05,(2.61),5.11,(2.20),80,NOUN
tease,1010,4.84,(2.51),5.87,(2.56),4.67,(2.37),6,NOUN
tender,1011,6.93,(1.28),4.88,(2.30),5.33,(1.75),11,NOUN
tennis,540,6.02,(1.97),4.61,(2.60),5.61,(2.12),15,VERB
tense,428,3.56,(1.36),6.53,(2.10),5.22,(2.02),15,PROPN
termite,429,3.58,(2.08),5.39,(2.43),3.87,(1.87),.,NOUN
terrible,430,1.93,(1.44),6.27,(2.44),3.58,(2.34),45,VERB
terrific,431,8.16,(1.12),6.23,(2.73),6.6,(2.15),5,VERB
terrified,432,1.72,(1.14),7.86,(2.27),3.08,(2.75),7,VERB
terrorist,614,1.69,(1.42),7.27,(2.38),2.65,(2.30),.,VERB
thankful,433,6.89,(2.29),4.34,(2.31),5.32,(2.00),6,NOUN
theory,434,5.3,(1.49),4.62,(1.94),4.88,(1.81),129,PROPN
thermometer,1012,4.73,(1.05),3.79,(2.02),4.39,(1.51),.,VERB
thief,435,2.13,(1.69),6.89,(2.13),3.79,(2.55),8,PROPN
thorn,436,3.64,(1.76),5.14,(2.14),4.45,(1.50),3,VERB
thought,1013,6.39,(1.58),4.83,(2.46),6.02,(1.70),515,VERB
thoughtful,437,7.65,(1.03),5.72,(2.30),5.61,(2.11),11,NOUN
thrill,438,8.05,(1.48),8.02,(1.65),6.54,(2.30),5,PROPN
tidy,1014,6.3,(1.56),3.98,(2.22),5.49,(1.93),1,NOUN
time,439,5.31,(2.02),4.64,(2.75),4.63,(2.24),1599,NOUN
timid,440,3.86,(1.55),4.11,(2.09),3.09,(1.91),5,NOUN
tobacco,441,3.28,(2.16),4.83,(2.90),4.08,(2.27),19,ADP
tomb,442,2.94,(1.88),4.73,(2.72),3.72,(2.05),11,NOUN
tool,1015,5.19,(1.27),4.33,(1.78),5.67,(1.62),40,VERB
toothache,443,1.98,(1.15),5.55,(2.51),3.9,(1.85),.,ADV
tornado,444,2.55,(1.78),6.83,(2.49),4.3,(2.42),1,PROPN
torture,445,1.56,(0.79),6.1,(2.77),3.33,(2.37),3,PROPN
tower,1016,5.46,(1.75),3.95,(2.28),5.78,(2.14),13,VERB
toxic,446,2.1,(1.48),6.4,(2.41),4.42,(2.51),3,VERB
toy,1017,7.0,(2.01),5.11,(2.84),6.09,(1.84),4,NOUN
tragedy,447,1.78,(1.31),6.24,(2.64),3.5,(2.34),49,NOUN
traitor,448,2.22,(1.69),5.78,(2.47),4.61,(2.71),2,NOUN
trash,615,2.67,(1.45),4.16,(2.16),5.24,(1.85),2,PROPN
trauma,616,2.1,(1.49),6.33,(2.45),2.84,(1.87),1,NOUN
travel,1018,7.1,(2.00),6.21,(2.51),6.31,(2.08),61,ADV
treasure,449,8.27,(0.90),6.75,(2.30),6.36,(2.42),4,NOUN
treat,1019,7.36,(1.38),5.62,(2.25),5.78,(1.82),26,VERB
tree,450,6.32,(1.56),3.42,(2.21),5.08,(2.29),59,NOUN
triumph,451,7.8,(1.83),5.78,(2.60),6.98,(2.20),22,NOUN
triumphant,452,8.82,(0.73),6.78,(2.58),6.95,(2.55),5,VERB
trophy,453,7.78,(1.22),5.39,(2.44),6.44,(2.32),8,VERB
trouble,454,3.03,(2.09),6.85,(2.03),4.85,(2.39),134,PROPN
troubled,455,2.17,(1.21),5.94,(2.36),3.91,(2.33),31,VERB
truck,577,5.47,(1.88),4.84,(2.17),5.33,(1.83),57,VERB
trumpet,456,5.75,(1.38),4.97,(2.13),4.57,(1.72),7,NOUN
trunk,1020,5.09,(1.57),4.18,(2.19),5.14,(1.90),8,NOUN
trust,457,6.68,(2.71),5.3,(2.66),6.61,(2.04),52,NOUN
truth,458,7.8,(1.29),5.0,(2.77),6.47,(2.11),126,NOUN
tumor,459,2.36,(2.04),6.51,(2.85),3.58,(2.42),17,PROPN
tune,1021,6.93,(1.47),4.71,(2.09),5.74,(1.82),10,PROPN
twilight,1022,7.23,(1.80),4.7,(2.41),5.59,(1.82),4,VERB
ugly,460,2.43,(1.27),5.38,(2.23),4.26,(2.33),21,VERB
ulcer,461,1.78,(1.17),6.12,(2.68),4.17,(2.22),5,VERB
umbrella,578,5.16,(1.57),3.68,(1.99),5.42,(1.91),8,VERB
unfaithful,462,2.05,(1.55),6.2,(2.70),3.02,(2.54),1,VERB
unhappy,463,1.57,(0.96),4.18,(2.50),3.34,(2.35),26,NOUN
unit,1023,5.59,(1.87),3.75,(2.49),5.11,(1.74),103,VERB
untroubled,464,7.62,(1.41),3.89,(2.54),5.53,(2.54),.,VERB
upset,465,2.0,(1.18),5.86,(2.40),4.08,(2.31),14,VERB
urine,617,3.25,(1.71),4.2,(2.18),5.24,(1.86),1,VERB
useful,466,7.14,(1.60),4.26,(2.47),5.93,(2.10),58,VERB
useless,467,2.13,(1.42),4.87,(2.58),3.92,(2.62),17,VERB
utensil,1024,5.14,(1.39),3.57,(1.98),5.4,(1.47),.,VERB
vacation,468,8.16,(1.36),5.64,(2.99),6.8,(2.08),47,VERB
vagina,1025,6.14,(1.77),5.55,(2.55),5.88,(1.74),10,PROPN
valentine,469,8.11,(1.35),6.06,(2.91),5.81,(2.45),2,VERB
vampire,470,4.26,(1.86),6.37,(2.35),5.05,(2.27),1,VERB
vandal,471,2.71,(1.91),6.4,(1.88),3.91,(2.49),1,NOUN
vanity,472,4.3,(1.91),4.98,(2.31),4.8,(2.03),7,VERB
vehicle,473,6.27,(2.34),4.63,(2.81),5.77,(2.61),35,VERB
venom,474,2.68,(1.81),6.08,(2.44),3.94,(2.23),2,VERB
vest,1026,5.25,(1.33),3.95,(2.09),5.09,(1.24),4,NOUN
victim,618,2.18,(1.48),6.06,(2.32),2.69,(2.04),27,VERB
victory,475,8.32,(1.16),6.63,(2.84),7.26,(2.14),61,VERB
vigorous,476,6.79,(1.54),5.9,(2.66),5.41,(2.22),29,VERB
village,477,5.92,(1.34),4.08,(1.87),4.94,(1.74),72,NOUN
violent,478,2.29,(1.78),6.89,(2.47),5.16,(2.86),33,NOUN
violin,579,5.43,(1.98),3.49,(2.26),5.18,(2.01),11,NOUN
virgin,1027,6.45,(1.76),5.51,(2.06),6.24,(2.48),35,NUM
virtue,479,6.22,(2.06),4.52,(2.52),6.13,(2.09),30,VERB
vision,480,6.62,(1.84),4.66,(2.43),6.02,(1.96),56,NOUN
volcano,619,4.84,(2.14),6.33,(2.21),3.25,(1.97),2,VERB
vomit,481,2.06,(1.57),5.75,(2.84),3.58,(2.45),3,NOUN
voyage,1028,6.25,(1.91),5.55,(2.23),5.18,(1.98),17,VERB
wagon,1029,5.37,(0.97),3.98,(2.04),5.05,(1.20),55,PROPN
war,482,2.08,(1.91),7.49,(2.16),4.5,(3.00),464,NOUN
warmth,483,7.41,(1.81),3.73,(2.40),5.61,(1.67),28,PROPN
wasp,484,3.37,(1.63),5.5,(2.17),3.76,(1.82),2,VERB
waste,485,2.93,(1.76),4.14,(2.30),4.72,(1.94),35,NOUN
watch,580,5.78,(1.51),4.1,(2.12),5.37,(1.75),81,VERB
water,486,6.61,(1.78),4.97,(2.49),5.08,(1.99),442,PROPN
waterfall,487,7.88,(1.03),5.37,(2.84),5.2,(2.18),2,NOUN
wealthy,488,7.7,(1.34),5.8,(2.73),6.77,(2.57),12,NOUN
weapon,489,3.97,(1.92),6.03,(1.89),5.19,(2.61),42,NOUN
weary,490,3.79,(2.12),3.81,(2.29),4.0,(1.91),17,NOUN
wedding,491,7.82,(1.56),5.97,(2.85),6.68,(2.08),32,NOUN
whistle,1030,5.81,(1.21),4.69,(1.99),5.27,(1.87),4,PROPN
white,542,6.47,(1.59),4.37,(2.14),5.98,(1.73),365,NOUN
whore,492,2.3,(2.11),5.85,(2.93),4.61,(2.73),2,VERB
wicked,493,2.96,(2.37),6.09,(2.44),4.36,(2.65),9,NOUN
wife,1031,6.33,(1.97),4.93,(2.22),5.57,(1.68),228,PROPN
win,494,8.38,(0.92),7.72,(2.16),7.39,(2.36),55,NOUN
windmill,1032,5.6,(1.65),3.74,(2.13),5.24,(1.04),1,NOUN
window,495,5.91,(1.38),3.97,(2.01),4.91,(1.60),119,PROPN
wine,496,5.95,(2.19),4.78,(2.34),5.31,(2.15),72,PROPN
wink,1033,6.93,(1.83),5.44,(2.68),5.7,(1.77),7,PROPN
wise,497,7.52,(1.23),3.91,(2.64),6.7,(2.39),36,VERB
wish,1034,7.09,(2.00),5.16,(2.62),5.28,(2.09),110,VERB
wit,1035,7.32,(1.90),5.42,(2.44),6.38,(2.01),20,NOUN
woman,498,6.64,(1.76),5.32,(2.59),6.33,(1.52),224,PROPN
wonder,499,6.03,(1.58),5.0,(2.23),5.32,(2.17),67,NOUN
world,500,6.5,(2.03),5.32,(2.39),5.26,(2.47),787,VERB
wounds,620,2.51,(1.58),5.82,(2.01),3.92,(1.57),8,NOUN
writer,1036,5.52,(1.90),4.33,(2.45),4.73,(1.84),73,VERB
yacht,1037,6.95,(1.79),5.61,(2.72),6.1,(2.13),4,VERB
yellow,545,5.61,(1.94),4.43,(2.05),5.47,(1.58),55,NOUN
young,1038,6.89,(2.12),5.64,(2.51),5.3,(2.49),385,VERB
youth,1039,6.75,(2.29),5.67,(2.52),5.11,(2.55),82,PRON
zest,1040,6.79,(2.04),5.59,(2.66),6.0,(1.99),5,PROPN
abduction,621,3.19,(1.94),4.95,(1.99),4.25,(2.05),1,PROPN
abortion,622,4.0,(2.11),4.72,(2.22),5.44,(2.33),6,PROPN
absurd,623,3.86,(2.14),4.09,(2.43),4.76,(2.00),17,PROPN
abundance,624,6.62,(2.16),5.9,(2.72),6.05,(2.24),13,PROPN
abuse,1,2.78,(1.30),6.67,(2.40),3.33,(2.45),18,PROPN
acceptance,625,7.75,(1.25),6.0,(2.25),6.75,(1.86),49,PROPN
accident,2,2.0,(1.06),5.94,(3.27),3.53,(2.15),33,NOUN
ace,626,7.7,(1.34),6.35,(2.62),6.45,(2.58),15,NOUN
ache,627,3.0,(1.76),5.26,(2.28),3.89,(1.82),4,VERB
achievement,3,7.58,(1.73),4.42,(2.61),6.67,(2.10),65,NOUN
activate,4,5.89,(0.93),4.44,(2.70),5.56,(2.19),2,PROPN
addict,581,2.84,(2.53),5.64,(2.56),3.76,(2.59),1,PROPN
addicted,628,2.75,(1.33),4.5,(2.24),3.65,(2.03),3,VERB
admired,5,7.6,(1.45),6.4,(1.99),7.73,(1.22),17,PROPN
adorable,6,7.35,(1.37),5.38,(2.39),5.31,(2.27),3,VERB
adult,546,6.48,(1.53),4.72,(2.25),5.92,(1.85),25,VERB
advantage,629,7.26,(1.45),5.37,(1.98),6.37,(2.36),73,PROPN
adventure,630,7.23,(1.69),6.91,(2.43),6.38,(1.77),14,VERB
affection,7,7.9,(0.99),6.1,(2.56),5.2,(2.35),18,PROPN
afraid,8,2.42,(1.56),6.67,(2.35),5.25,(3.08),57,PROPN
aggressive,9,5.58,(1.31),6.17,(2.48),6.5,(1.68),17,PROPN
agility,22,7.1,(1.52),4.2,(1.81),6.1,(2.18),3,PROPN
agony,10,2.47,(2.29),5.47,(2.77),4.6,(2.16),9,PROPN
agreement,631,6.74,(1.52),4.89,(1.94),6.47,(1.98),106,PROPN
air,632,6.47,(1.61),4.68,(2.36),5.21,(1.93),257,NOUN
alcoholic,582,3.72,(2.81),5.36,(2.60),4.84,(2.54),3,PROPN
alert,11,5.55,(1.64),6.65,(2.60),6.55,(1.64),33,PROPN
alien,633,6.36,(1.65),5.77,(1.93),4.32,(2.10),16,PROPN
alimony,634,3.21,(1.55),3.67,(2.13),4.0,(2.00),2,PROPN
alive,635,6.6,(2.48),5.35,(2.72),6.8,(1.94),57,PROPN
allergy,636,3.2,(1.79),4.6,(2.23),2.95,(1.93),1,PROPN
alley,637,4.76,(1.76),4.62,(1.91),4.38,(1.28),8,NOUN
alone,12,3.07,(2.34),4.13,(2.72),3.87,(2.45),195,PROPN
aloof,13,5.24,(1.92),3.88,(1.80),4.82,(1.67),5,ADV
ambition,14,5.95,(1.99),5.85,(2.70),6.2,(2.26),19,NOUN
ambulance,15,3.0,(1.33),6.6,(1.78),3.8,(2.49),6,PROPN
angel,16,6.8,(2.35),5.3,(2.83),4.4,(2.07),18,PROPN
anger,17,2.87,(1.25),6.73,(2.31),5.47,(2.23),48,PROPN
angry,18,3.87,(1.55),6.67,(2.09),6.21,(2.81),45,ADV
anguished,19,2.7,(1.89),4.45,(2.33),3.7,(2.18),2,NUM
ankle,638,5.63,(1.42),4.53,(2.09),4.68,(1.95),8,VERB
annoy,20,3.0,(1.41),6.5,(1.45),5.09,(1.58),2,PROPN
answer,639,7.0,(1.70),5.68,(2.21),6.11,(2.21),152,VERB
anxious,21,4.8,(1.93),6.7,(2.06),5.8,(1.81),29,PROPN
applause,640,7.33,(1.37),5.83,(2.57),6.89,(1.91),14,VERB
appliance,641,5.05,(1.62),4.23,(2.33),5.09,(1.60),5,VERB
arm,642,5.5,(1.79),4.4,(2.74),5.05,(2.01),94,NOUN
army,23,4.9,(1.52),4.65,(2.01),5.2,(2.38),132,PROPN
aroused,24,8.0,(1.15),6.22,(3.07),6.1,(2.69),20,NOUN
arrogant,25,4.69,(2.80),5.12,(2.74),5.88,(2.53),2,VERB
art,643,5.7,(2.36),4.6,(2.60),4.75,(2.49),208,NOUN
assassin,26,4.33,(2.19),5.73,(2.74),4.86,(2.57),6,VERB
assault,27,2.55,(1.86),7.17,(2.25),5.73,(2.65),15,PROPN
astonished,28,6.5,(1.55),6.44,(2.34),5.18,(1.94),6,NUM
astronaut,501,6.79,(1.64),4.92,(2.10),5.33,(1.83),2,PROPN
athletics,644,6.76,(2.05),6.71,(2.08),6.19,(1.99),9,NUM
autumn,29,5.93,(1.83),4.87,(2.45),4.93,(1.62),22,PROPN
avalanche,645,3.62,(2.16),5.29,(2.22),4.0,(1.90),1,PROPN
avenue,646,5.15,(1.23),4.4,(1.85),5.05,(1.57),46,VERB
awed,30,6.35,(1.50),6.05,(2.16),4.75,(2.27),5,VERB
baby,31,7.71,(1.49),6.25,(2.49),4.56,(2.94),62,NOUN
bake,647,6.32,(1.25),4.7,(2.54),5.22,(1.63),12,PROPN
bandage,648,4.0,(1.81),3.8,(1.77),4.3,(1.98),4,PROPN
bankrupt,32,2.24,(1.52),5.71,(2.82),2.94,(2.43),5,PROPN
banner,649,5.35,(0.67),3.65,(1.73),4.8,(1.77),8,PROPN
bar,650,7.0,(2.08),5.5,(2.70),5.85,(2.21),82,PROPN
barrel,651,5.3,(1.66),3.75,(2.71),4.9,(2.10),24,ADJ
basket,547,5.6,(1.22),3.36,(2.04),5.92,(1.29),17,PROPN
bastard,33,3.2,(2.11),6.38,(2.50),4.5,(2.18),12,PROPN
bath,502,7.24,(1.36),4.76,(1.85),5.72,(1.49),26,PROPN
bathroom,548,5.92,(1.38),3.84,(1.89),5.72,(1.70),18,NOUN
bathtub,652,6.64,(1.68),5.36,(2.26),5.73,(1.88),4,ADV
beach,34,8.47,(0.87),6.88,(2.19),5.81,(2.56),61,NOUN
beast,653,5.1,(2.51),6.0,(2.29),5.65,(2.39),7,NOUN
beautiful,654,7.23,(2.00),6.36,(2.46),6.1,(1.61),127,PROPN
beauty,35,7.47,(1.13),5.6,(2.16),5.33,(1.50),71,NOUN
bed,549,7.88,(1.09),4.04,(2.85),7.0,(1.87),127,PROPN
bees,583,3.24,(2.07),6.72,(2.30),4.56,(2.31),15,PROPN
beggar,36,3.95,(2.04),4.0,(1.92),4.6,(2.19),2,ADV
bench,655,4.56,(1.34),3.33,(1.78),5.06,(1.59),35,NOUN
bereavement,656,4.63,(1.54),4.26,(2.16),3.95,(1.72),4,PROPN
betray,37,1.85,(1.14),7.17,(2.08),5.75,(1.91),4,PROPN
beverage,657,6.8,(1.54),5.55,(2.37),5.8,(2.04),5,PROPN
bird,38,6.92,(1.38),2.67,(2.02),4.58,(2.47),31,NUM
birthday,39,7.4,(2.82),6.6,(2.13),5.4,(2.64),18,PROPN
black,543,5.92,(1.38),4.54,(2.21),5.88,(1.57),203,PROPN
blackmail,40,3.0,(1.56),5.2,(2.78),3.0,(2.26),2,PROPN
bland,658,4.1,(1.02),3.45,(2.19),4.95,(1.23),3,NOUN
blase,41,5.0,(1.32),4.35,(1.69),4.38,(1.93),7,PROPN
blasphemy,659,3.65,(2.11),4.55,(2.37),4.75,(1.83),4,NOUN
bless,42,6.35,(2.18),4.12,(2.29),5.29,(2.05),9,PROPN
blind,43,2.71,(1.83),3.69,(2.18),3.06,(1.91),47,VERB
bliss,660,7.17,(1.79),5.06,(3.06),6.5,(2.23),4,NOUN
blister,661,3.48,(1.91),3.81,(2.11),4.38,(1.99),3,PROPN
blond,662,6.64,(2.44),6.05,(2.79),6.0,(2.05),11,PROPN
bloody,584,3.76,(2.30),6.32,(2.36),4.32,(1.91),8,VERB
blossom,44,7.53,(1.41),5.67,(3.02),5.53,(2.29),7,PROPN
blubber,663,3.83,(2.09),4.56,(2.15),4.5,(1.92),1,NOUN
blue,544,7.16,(1.52),4.0,(2.08),5.92,(1.38),143,PROPN
board,664,4.58,(1.22),3.26,(1.94),4.63,(2.01),239,PROPN
body,665,5.75,(2.47),5.6,(2.78),5.25,(2.22),276,NOUN
bold,45,6.25,(1.71),4.75,(2.53),6.92,(1.38),21,PROPN
bomb,46,2.7,(1.16),6.7,(2.41),4.6,(1.35),36,NOUN
book,47,5.9,(1.83),4.15,(2.30),5.15,(1.84),193,PROPN
bored,48,2.82,(1.47),2.88,(2.28),4.06,(1.48),14,PROPN
bottle,666,6.09,(1.54),5.45,(1.90),4.68,(1.78),76,PROPN
bouquet,667,6.52,(1.99),5.1,(2.41),6.24,(1.41),4,PROPN
bowl,49,4.8,(0.63),3.4,(2.12),5.0,(1.56),23,NOUN
boxer,585,6.12,(1.51),5.2,(2.25),5.48,(1.90),1,PROPN
boy,50,5.4,(0.74),3.73,(2.09),4.33,(2.02),242,PROPN
brave,668,6.76,(2.02),5.95,(2.60),7.14,(1.90),24,PROPN
breast,51,8.13,(1.30),6.8,(2.21),6.07,(2.22),11,PROPN
breeze,669,6.52,(1.97),4.29,(2.15),5.57,(1.63),14,NOUN
bride,670,6.7,(1.92),4.7,(2.56),5.84,(2.14),33,PROPN
bright,671,7.05,(1.61),5.45,(2.21),6.15,(1.14),87,ADV
broken,672,3.5,(2.26),5.39,(2.45),4.17,(1.98),63,NOUN
brother,52,6.83,(1.53),5.55,(2.07),5.36,(1.36),73,NOUN
brutal,53,3.25,(1.94),5.65,(2.60),5.2,(2.09),7,PROPN
