Description,Word_No,Valence_Mean,Valence_Mean_SD,Arousal_Mean,Arousal_Mean_SD,Dominance_Mean,Dominance_Mean_SD,Word_Frequency,POS
lottery,853,6.57,(2.04),5.36,(2.45),4.81,(2.11),1,PROPN
louse,262,2.81,(1.92),4.98,(2.03),3.57,(2.26),3,NOUN
love,263,8.72,(0.70),6.44,(3.35),7.11,(2.56),232,NOUN
loved,264,8.64,(0.71),6.38,(2.68),6.62,(2.53),56,NOUN
loyal,265,7.55,(1.90),5.16,(2.42),6.91,(2.23),18,PROPN
lucky,266,8.17,(1.06),6.53,(2.34),6.05,(2.25),21,PROPN
lump,854,4.16,(2.34),4.8,(2.82),4.32,(2.18),7,VERB
luscious,267,7.5,(1.08),5.34,(2.51),5.68,(1.84),2,PROPN
lust,519,7.12,(1.62),6.88,(1.85),5.49,(2.27),5,NOUN
luxury,268,7.88,(1.49),4.75,(2.91),6.4,(2.45),21,NOUN
machine,855,5.09,(1.67),3.82,(2.40),5.23,(2.06),103,NOUN
mad,856,2.44,(1.72),6.76,(2.26),5.86,(2.20),39,NOUN
madman,857,3.91,(2.49),5.56,(2.78),4.79,(2.55),2,NOUN
maggot,269,2.06,(1.47),5.28,(2.96),4.03,(2.09),2,VERB
magical,858,7.46,(1.64),5.95,(2.36),5.73,(2.19),12,VERB
mail,859,6.88,(1.74),5.63,(2.36),5.67,(1.79),47,NOUN
malaria,860,2.4,(1.38),4.4,(2.54),3.22,(1.90),3,PROPN
malice,270,2.69,(1.84),5.86,(2.75),4.74,(2.72),2,NOUN
man,537,6.73,(1.70),5.24,(2.31),5.53,(2.23),1207,NOUN
mangle,861,3.9,(2.01),5.44,(2.10),4.61,(1.84),.,VERB
maniac,862,3.76,(2.00),5.39,(2.46),4.22,(2.07),4,NOUN
manner,863,5.64,(1.34),4.56,(1.78),5.05,(1.83),124,NOUN
mantel,864,4.93,(1.40),3.27,(2.23),4.95,(1.61),3,VERB
manure,865,3.1,(1.74),4.17,(2.09),4.67,(1.36),6,NOUN
market,866,5.66,(1.02),4.12,(1.83),5.27,(1.40),155,NOUN
massacre,867,2.28,(1.74),5.33,(2.63),3.5,(2.26),1,VERB
masterful,271,7.09,(1.78),5.2,(2.85),7.18,(2.56),2,NOUN
masturbate,599,5.45,(2.02),5.67,(2.18),5.63,(2.25),.,VERB
material,868,5.26,(1.29),4.05,(2.34),5.12,(1.45),174,NOUN
measles,272,2.74,(1.97),5.06,(2.44),4.13,(2.16),2,VERB
medicine,869,5.67,(2.06),4.4,(2.36),4.7,(1.91),30,NOUN
meek,273,3.87,(1.69),3.8,(2.13),3.67,(2.23),10,VERB
melody,870,7.07,(1.79),4.98,(2.52),5.46,(1.78),21,VERB
memories,871,7.48,(1.61),6.1,(2.10),5.88,(1.92),15,ADV
memory,274,6.62,(1.50),5.42,(2.25),5.11,(2.12),76,NOUN
menace,275,2.88,(1.64),5.52,(2.45),4.98,(2.25),9,VERB
merry,872,7.9,(1.49),5.9,(2.42),6.64,(1.66),8,PROPN
messy,873,3.15,(1.73),3.34,(2.37),4.75,(2.15),3,VERB
metal,874,4.95,(1.17),3.79,(1.96),5.38,(1.40),61,NUM
method,875,5.56,(1.76),3.85,(2.58),5.67,(1.58),142,NOUN
mighty,276,6.54,(2.19),5.61,(2.38),7.23,(2.11),29,NOUN
mildew,277,3.17,(1.36),4.08,(1.79),4.4,(1.79),1,VERB
milk,876,5.95,(2.16),3.68,(2.57),5.83,(1.50),49,NOUN
millionaire,278,8.03,(1.42),6.14,(2.70),6.97,(2.40),2,VERB
mind,877,6.68,(1.84),5.0,(2.68),6.37,(2.19),325,ADV
miracle,279,8.6,(0.71),7.65,(1.67),5.35,(2.58),16,NOUN
mischief,878,5.57,(2.05),5.76,(1.95),5.56,(1.88),5,NOUN
misery,879,1.93,(1.60),5.17,(2.69),2.55,(1.45),15,NOUN
mistake,880,2.86,(1.79),5.18,(2.42),3.86,(2.42),34,PROPN
mobility,881,6.83,(1.79),5.0,(2.18),6.43,(1.48),8,NOUN
modest,280,5.76,(1.28),3.98,(2.24),4.96,(2.16),29,NOUN
mold,882,3.55,(1.70),4.07,(1.98),4.33,(1.83),45,VERB
moment,281,5.76,(1.65),3.83,(2.29),4.81,(1.92),246,NOUN
money,282,7.59,(1.40),5.7,(2.66),6.25,(2.33),265,VERB
month,283,5.15,(1.09),4.03,(1.77),4.85,(1.14),130,NOUN
moody,883,3.2,(1.58),4.18,(2.38),4.39,(1.71),5,NOUN
moral,884,6.2,(1.85),4.49,(2.28),5.9,(2.20),142,NOUN
morbid,284,2.87,(2.14),5.06,(2.68),4.34,(2.50),1,VERB
morgue,285,1.92,(1.32),4.84,(2.96),3.61,(1.94),1,NOUN
mosquito,885,2.8,(1.91),4.78,(2.72),4.51,(2.15),1,PROPN
mother,286,8.39,(1.15),6.13,(2.71),5.74,(2.37),216,NOUN
mountain,287,6.59,(1.66),5.49,(2.43),5.46,(2.36),33,PROPN
movie,288,6.86,(1.81),4.93,(2.54),5.0,(1.79),29,VERB
mucus,886,3.34,(2.29),3.41,(2.17),4.8,(1.83),2,NOUN
muddy,887,4.44,(2.07),4.13,(2.13),4.73,(1.77),10,NOUN
muffin,888,6.57,(2.04),4.76,(2.42),5.51,(1.63),.,NOUN
murderer,289,1.53,(0.96),7.47,(2.18),3.77,(3.06),19,VERB
muscular,290,6.82,(1.63),5.47,(2.20),6.58,(2.28),16,VERB
museum,889,5.54,(1.86),3.6,(2.13),5.32,(1.68),32,NOUN
mushroom,567,5.78,(2.22),4.72,(2.33),5.52,(2.10),2,NOUN
music,291,8.13,(1.09),5.32,(3.19),6.39,(2.44),216,NOUN
mutation,890,3.91,(2.44),4.84,(2.52),4.07,(2.10),.,PROPN
mutilate,292,1.82,(1.45),6.41,(2.94),3.41,(2.71),3,NOUN
mystic,891,6.0,(2.21),4.84,(2.57),5.52,(1.93),3,NOUN
naked,892,6.34,(2.42),5.8,(2.80),6.0,(2.05),32,PROPN
name,893,5.55,(2.24),4.25,(2.47),5.16,(2.08),294,PROPN
narcotic,894,4.29,(2.30),4.93,(2.57),4.44,(2.43),2,PROPN
nasty,895,3.58,(2.38),4.89,(2.50),5.0,(2.17),5,VERB
natural,896,6.59,(1.57),4.09,(2.37),5.57,(1.69),156,PROPN
nature,293,7.65,(1.37),4.37,(2.51),4.95,(2.72),191,PROPN
nectar,294,6.9,(1.53),3.89,(2.48),4.54,(2.06),3,PROPN
needle,897,3.82,(1.73),5.36,(2.89),3.95,(2.17),15,PROPN
neglect,898,2.63,(1.64),4.83,(2.31),3.85,(2.29),12,PROPN
nervous,899,3.29,(1.47),6.59,(2.07),3.56,(1.73),24,PROPN
neurotic,900,4.45,(2.23),5.13,(2.76),4.41,(2.05),10,PROPN
news,901,5.3,(1.67),5.17,(2.11),4.6,(1.88),102,PROPN
nice,902,6.55,(2.44),4.38,(2.69),5.58,(2.20),75,PROPN
nightmare,295,1.91,(1.54),7.59,(2.23),3.68,(2.76),9,PROPN
nipple,903,6.27,(1.81),5.56,(2.55),5.57,(2.00),.,NOUN
noisy,904,5.02,(2.02),6.38,(1.78),4.93,(1.76),6,PROPN
nonchalant,296,4.74,(1.11),3.12,(1.93),4.31,(1.54),1,VERB
nonsense,905,4.61,(1.63),4.17,(2.02),4.9,(1.55),13,PROPN
noose,906,3.76,(1.64),4.39,(2.08),4.17,(1.92),3,PROPN
